transID,corridorID,corridorName,direction,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStopsName,tapOutTime,stopEndSeq,hour_of_day,day_of_week,is_peak_hour,trip_duration_minutes
EIIW227B8L34VB,5,Matraman Baru - Ancol,1.0,Pal Putih,-6.184631,106.84402,7,2023-04-03 05:21:44,Tegalan,2023-04-03 06:00:53,12.0,5,Monday,True,39.15
LGXO740D2N47GZ,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,Kemenkes 2,-6.2287,106.83302,13,2023-04-03 05:42:44,Sampoerna Strategic,2023-04-03 06:40:01,21.0,5,Monday,True,57.28333333333333
DJWR385V2U57TO,R1A,Pantai Maju - Kota,0.0,Gg. Kunir II,-6.133132,106.81435,38,2023-04-03 05:59:06,Simpang Kunir Kemukus,2023-04-03 06:50:55,39.0,5,Monday,True,51.81666666666667
JTUZ800U7C86EH,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Taman Elok 1,-6.195743,106.93526,23,2023-04-03 05:44:51,Raya Penggilingan,2023-04-03 06:28:16,29.0,5,Monday,True,43.416666666666664
VMLO535V7F95NJ,12,Tanjung Priok - Pluit,0.0,Sunter Boulevard Barat,-6.14965,106.889,5,2023-04-03 06:17:35,Kali Besar Barat,2023-04-03 06:57:03,15.0,6,Monday,True,39.46666666666667
DDES630K2F80KC,1T,Cibubur - Balai Kota,0.0,Benhil 3,-6.21601,106.81632,3,2023-04-03 05:08:01,Grand Sahid,2023-04-03 05:52:25,6.0,5,Monday,True,44.4
OIHS248V7S72EB,B14,Bekasi Barat - Kuningan,1.0,Imperium,-6.210363,106.83059,1,2023-04-03 06:01:44,Kayuringin 2,2023-04-03 06:51:12,16.0,6,Monday,True,49.46666666666667
ERXO372B2H63RB,1Q,Rempoa - Blok M,0.0,TPU Bungur,-6.247208,106.77889,15,2023-04-03 05:57:47,Blok M Jalur 3,2023-04-03 06:51:12,24.0,5,Monday,True,53.416666666666664
CLWK627W2M22WO,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,Pegangsaan Timur,-6.199263,106.84205,17,2023-04-03 06:32:28,Matraman 4,2023-04-03 07:23:54,23.0,6,Monday,True,51.43333333333333
IIEK980X1O23NZ,M7B,BKN - Blok M,1.0,Tendean,-6.240213,106.83102,12,2023-04-03 06:22:10,Mampang Prapatan,2023-04-03 06:50:21,14.0,6,Monday,True,28.183333333333334
OPLW560U3S06UG,9A,PGC 2 - Grogol 2,1.0,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,2023-04-03 06:15:04,Semanggi,2023-04-03 07:08:31,6.0,6,Monday,True,53.45
XESX233R4U46DN,4,Pulo Gadung 2 - Tosari,1.0,Pasar Rumput,-6.207125,106.84112,2,2023-04-03 06:12:14,Matraman 2,2023-04-03 07:07:35,4.0,6,Monday,True,55.35
LZFD368Q3E81HJ,JAK.46,Pasar Minggu - Jagakarsa,1.0,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,2023-04-03 05:38:44,Jln. Gabus Raya,2023-04-03 06:09:17,17.0,5,Monday,True,30.55
KLUN542I2F21PI,S22,Ciputat - Kampung Rambutan,0.0,SMK Darussalam,-6.319946,106.74598,1,2023-04-03 06:43:20,Pusdiklat Kemenag 1,2023-04-03 07:07:17,3.0,6,Monday,True,23.95
XDMP644Z5Y29DB,13,Ciledug - Tendean,1.0,JORR,-6.236104,106.75488,10,2023-04-03 06:49:48,Adam Malik,2023-04-03 07:47:42,11.0,6,Monday,True,57.9
CUPO258C0D42PY,9E,Kebayoran Lama - Jelambar,1.0,Apartemen Simprug Teras,-6.232197,106.78874,19,2023-04-03 05:41:28,Pasar Kebayoran Lama,2023-04-03 06:35:41,20.0,5,Monday,True,54.21666666666667
SBPQ144H4S45RA,M9,Pinang Ranti - Pluit,1.0,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,2023-04-03 06:24:23,Pancoran Tugu Arah Barat,2023-04-03 07:07:12,16.0,6,Monday,True,42.81666666666667
ZYRL615G4C05RD,JAK.88,Terminal Tanjung Priok - Ancol Barat,0.0,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,2023-04-03 06:43:49,Jln. Ancol Barat 6,2023-04-03 07:30:45,36.0,6,Monday,True,46.93333333333333
MEFW094B7A84RS,T11,Poris Plawad - Bundaran Senayan,1.0,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,2023-04-03 05:13:08,Term. Poris Plawad,2023-04-03 06:08:59,24.0,5,Monday,True,55.85
ZJVI960B9I42DA,JAK.16,Cililitan - Condet,0.0,Lippo Mall Kramat Jati,-6.270835,106.86741,4,2023-04-03 05:08:36,Jln. Mesjid Al Mabruk,2023-04-03 05:30:45,20.0,5,Monday,True,22.15
RJPK085I1K65HR,6V,Ragunan - Gelora Bung Karno,0.0,Tirtayasa,-6.239207,106.80777,12,2023-04-03 06:44:28,Masjid Agung,2023-04-03 07:11:25,13.0,6,Monday,True,26.95
TFIO518N2X54UT,11Q,Kampung Melayu - Pulo Gebang via BKT,0.0,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,2023-04-03 06:45:03,SMAN 100,2023-04-03 07:06:05,21.0,6,Monday,True,21.033333333333335
SYLN486U0E02TA,JAK.02,Kampung Melayu - Duren Sawit,0.0,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,2023-04-03 05:43:14,RS Duren Sawit 2,2023-04-03 06:12:52,39.0,5,Monday,True,29.633333333333333
BECP746A8C28NV,11,Pulo Gebang - Matraman,0.0,St. Jatinegara 2,-6.215601,106.86805,13,2023-04-03 05:48:55,Jatinegara RS Premier,2023-04-03 06:33:42,14.0,5,Monday,True,44.78333333333333
KYNP204W3G29VA,1C,Pesanggrahan - Blok M,0.0,Univ. Moestopo Bintaro,-6.258469,106.76529,1,2023-04-03 06:00:19,Bintaro Park VIew,2023-04-03 06:23:52,5.0,6,Monday,True,23.55
MSFD430X8W13TO,3B,Rusun Flamboyan - Cengkareng,0.0,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,2023-04-03 05:49:39,Mall Taman Palem 3,2023-04-03 06:42:12,6.0,5,Monday,True,52.55
MKND874X1D96HF,R1A,Pantai Maju - Kota,0.0,Pantai Maju,-6.093637,106.75068,0,2023-04-03 05:45:14,SD Diakonia 1,2023-04-03 06:22:28,23.0,5,Monday,True,37.233333333333334
